"Идентификатор";"Наименование УБИ";"Объект воздействия (источник)";"Применимость";"Тематика";"Область исключённой угрозы (анализ)";"Программный объект (анализ)";"Обоснование отбора (анализ)";"Почему не подходит для ПО (анализ)";"Условие применимости (анализ)";"Описание (источник)";"Источник угрозы";"Нарушение конфиденциальности";"Нарушение целостности";"Нарушение доступности";"Статус угрозы";"Дата включения";"Дата изменения";"Замечания";"Источник"
"УБИ.035";"Угроза использования слабых криптографических алгоритмов BIOS";"Микропрограммное обеспечение BIOS/UEFI";"Для отдельных классов ПО";"Системное ПО";"";"Криптографические алгоритмы BIOS/UEFI";"Вопрос касается свойств криптографической реализации программной прошивки, включая непрозрачность её параметров.";"";"Объект анализа — BIOS/UEFI, использующий встроенные криптографические алгоритмы, реальную работу которых нельзя достаточно проверить.";"Угроза заключается в сложности проверки реальных параметров работы и алгоритмов, реализованных в криптографических средствах BIOS/UEFI. При этом доверие к криптографической защите будет ограничено доверием к производителю BIOS.
Данная угроза обусловлена сложностью использования собственных криптографических алгоритмов в программном обеспечении BIOS/UEFI.
Возможность реализации данной угрозы снижает достоверность оценки реального уровня защищённости системы";"Внешний нарушитель с высоким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 37"
"УБИ.036";"Угроза исследования механизмов работы программы";"Системное программное обеспечение, прикладное программное обеспечение, сетевое программное обеспечение, микропрограммное обеспечение";"Прямая";"Код и выполнение";"";"Исходный код, исполняемые файлы и дистрибутив программы";"Обратный инжиниринг направлен непосредственно на структуру, алгоритмы и уязвимости программного продукта.";"";"Нарушитель имеет доступ к исходникам или дистрибутиву; защита исследуемых сведений о коде входит в требования к продукту.";"Угроза заключается в возможности проведения нарушителем обратного инжиниринга кода программы и дальнейшего исследования его структуры, функционала и состава в интересах определения алгоритма работы программы и поиска в ней уязвимостей.
Данная угроза обусловлена слабостями механизма защиты кода программы от исследования.
Реализация данной угрозы возможна в случаях:
наличия у нарушителя доступа к исходным файлам программы;
наличия у нарушителя доступа к дистрибутиву программы и отсутствия механизма защиты кода программы от исследования";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 38"
"УБИ.037";"Угроза исследования приложения через отчёты об ошибках";"Системное программное обеспечение, прикладное программное обеспечение, сетевое программное обеспечение, микропрограммное обеспечение";"Прямая";"Данные и файлы";"";"Отчёты об ошибках приложения";"Избыточные сообщения об ошибках раскрывают внутреннее устройство и защищаемые сведения приложения.";"";"Приложение генерирует доступные нарушителю отчёты об ошибках с избыточными данными.";"Угроза заключается в возможности исследования нарушителем алгоритма работы дискредитируемого приложения и его предполагаемой структуры путём анализа генерируемых этим приложением отчётов об ошибках.
Данная угроза обусловлена размещением защищаемой информации (или информации, обобщение которой может раскрыть защищаемые сведения о системе) в генерируемых отчётах об ошибках.
Реализация данной угрозы возможна в случае наличия у нарушителя доступа к отчётам об ошибках, генерируемых приложением, и наличия избыточности содержащихся в них данных";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 39"
"УБИ.038";"Угроза исчерпания вычислительных ресурсов хранилища больших данных";"Информационная система";"Для отдельных классов ПО";"Данные и файлы";"";"ПО хранилища больших данных и контроль заполнения";"Описание включает программное воздействие на параметры и логику контроля заполнения хранилища.";"";"ПО реализует хранилище больших данных с непрерывным приёмом информации; применима ветвь программного управления квотами, сохранением и заполнением.";"Угроза заключается в возможности временного возникновения состояния типа «отказ в обслуживании» у хранилища больших данных.
Данная угроза обусловлена постоянным трудно контролируемым заполнением занятого дискового пространства за счёт данных, непрерывно поступающих из различных информационных источников, и слабостями технологий доступа и хранения информации в хранилищах больших данных.
Реализация данной угрозы возможна при условии мгновенного (текущего) превышения скорости передачи данных над скоростью их сохранения (в силу недостаточности пропускной способности канала связи или скорости выделения свободного пространства и сохранения на него поступающих данных) или при условии временного отсутствия свободного места в хранилище (в силу некорректного управления хранилищем или в результате осуществления нарушителем деструктивного программного воздействия на механизм контроля за заполнением хранилища путём изменения параметров или логики его работы)";"Внутренний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 40"
"УБИ.039";"Угроза исчерпания запаса ключей, необходимых для обновления BIOS";"Микропрограммное обеспечение BIOS/UEFI";"Для отдельных классов ПО";"Системное ПО";"";"Механизм обновления BIOS/UEFI и обновления набора ключей";"Уязвимости средств работы с ограниченным набором ключей могут заблокировать обновление прошивки.";"";"Анализируется BIOS/UEFI с конечным запасом ключей, необходимым для процедуры обновления.";"Угроза заключается в возможности нарушения (невозможности осуществления) процедуры обновления BIOS/UEFI при исчерпании запаса необходимых для её проведения ключей.
Данная угроза обусловлена ограниченностью набора ключей, необходимых для обновления BIOS/UEFI.
Реализация данной угрозы возможна путём эксплуатации уязвимостей средств обновления набора ключей, или путём использования нарушителем программных средств перебора ключей";"Внешний нарушитель со средним потенциалом";"0";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 41"
"УБИ.041";"Угроза межсайтового скриптинга";"Сетевой узел, сетевое программное обеспечение";"Прямая";"Веб и сетевые сервисы";"";"Веб-приложение: обработка и вывод недоверенных данных";"Внедрённый скрипт выполняется у посетителя из-за недостаточной проверки и обработки данных веб-приложением.";"";"ПО формирует веб-страницы с исполняемыми сценариями и включает данные, управляемые нарушителем.";"Угроза заключается в возможности внедрения нарушителем участков вредоносного кода на сайт дискредитируемой системы таким образом, что он будет выполнен на рабочей станции просматривающего этот сайт пользователя.
Данная угроза обусловлена слабостями механизма проверки безопасности при обработке запросов и данных, поступающих от веб-сайта.
Реализация угрозы возможна в случае, если клиентское программное обеспечение поддерживает выполнение сценариев, а нарушитель имеет возможность отправки запросов и данных в дискредитируемую систему";"Внешний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 43"
"УБИ.042";"Угроза межсайтовой подделки запроса";"Сетевой узел, сетевое программное обеспечение";"Прямая";"Веб и сетевые сервисы";"";"Веб-приложение: авторизованные запросы и пользовательские сеансы";"Посторонний ресурс инициирует действие от имени уже аутентифицированного пользователя.";"";"ПО выполняет действия по запросам браузера с сохранённой аутентификацией без достаточной проверки намерения пользователя и происхождения запроса.";"Угроза заключается в возможности отправки нарушителем дискредитируемому пользователю ссылки на содержащий вредоносный код веб-ресурс, при переходе на который автоматически будут выполнены неправомерные вредоносные действия от имени дискредитированного пользователя.
Данная угроза обусловлена уязвимостями браузеров, которые позволяют выполнять действия без подтверждения или аутентификации со стороны дискредитируемого пользователя.
Реализация угрозы возможна в случае, если дискредитируемый пользователь сохраняет аутентификационную информацию с помощью браузера";"Внешний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 44"
"УБИ.044";"Угроза нарушения изоляции пользовательских данных внутри виртуальной машины";"Виртуальная машина, гипервизор";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"Гипервизор и изоляция памяти виртуальной машины";"Уязвимости гипервизора нарушают изоляцию данных программ внутри виртуальной машины.";"";"ПО реализует или включает гипервизор; вредоносный код вне ВМ способен преодолеть границу её адресного пространства.";"Угроза заключается в возможности нарушения безопасности пользовательских данных программ, функционирующих внутри виртуальной машины, вредоносным программным обеспечением, функционирующим вне виртуальной машины.
Данная угроза обусловлена наличием уязвимостей программного обеспечения гипервизора, обеспечивающего изолированность адресного пространства, используемого для хранения пользовательских данных программ, функционирующих внутри виртуальной машины, от несанкционированного доступа со стороны вредоносного программного обеспечения, функционирующего вне виртуальной машины.
Реализация данной угрозы возможна при условии успешного преодоления вредоносным программным кодом границ виртуальной машины не только за счёт эксплуатации уязвимостей гипервизора, но и путём осуществления такого воздействия с более низких (по отношению к гипервизору) уровней функционирования системы";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 46"
"УБИ.045";"Угроза нарушения изоляции среды исполнения BIOS";"Микропрограммное и аппаратное обеспечение BIOS/UEFI";"Для отдельных классов ПО";"Системное ПО";"";"Изоляция и интерфейсы администрирования BIOS/UEFI";"Программное воздействие из ОС или сервис-процессора меняет логику и параметры прошивки.";"";"Анализируется BIOS/UEFI с обновлением или управлением из ОС либо через сетевой сервис-процессор.";"Угроза заключается в возможности изменения параметров и (или) логики работы программного обеспечения BIOS/UEFI путём программного воздействия из операционной системы компьютера или путём несанкционированного доступа к каналу сетевого взаимодействия серверного сервис-процессора.
Данная угроза обусловлена слабостями технологий разграничения доступа к BIOS/UEFI, его функциям администрирования и обновления, со стороны операционной системы или каналов связи.
Реализация данной угрозы возможна:
со стороны операционной системы – при условии наличия BIOS/UEFI функционала обновления и (или) управления программным обеспечением BIOS/UEFI из операционной системы;
со стороны сети – при условии наличия у дискредитируемого серверного сервис-процессора достаточных привилегий для управления всей системой, включая модификацию BIOS/UEFI серверов системы, и дискредитируемого сервера";"Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 47"
"УБИ.046";"Угроза нарушения процедуры аутентификации субъектов виртуального информационного взаимодействия";"Сетевой узел, сетевое программное обеспечение, метаданные, учётные данные пользователя";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"Протоколы аутентификации компонентов виртуализации";"Ошибки взаимной аутентификации программных субъектов виртуализации позволяют подменять участников обмена.";"";"ПО обеспечивает взаимодействие виртуальных, виртуализованных и физических субъектов через несколько протоколов идентификации и аутентификации.";"Угроза заключается в возможности подмены субъекта виртуального информационного взаимодействия, а также в возможности возникновения состояния неспособности осуществления такого взаимодействия.
Данная угроза обусловлена наличием множества различных протоколов взаимной идентификации и аутентификации виртуальных, виртуализованных и физических субъектов доступа, взаимодействующих между собой в ходе передачи данных как внутри одного уровня виртуальной инфраструктуры, так и между её уровнями.
Реализация данной угрозы возможна в случае возникновения ошибок при проведении аутентификации субъектов виртуального информационного взаимодействия";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"1";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 48"
"УБИ.048";"Угроза нарушения технологии обработки информации путём несанкционированного внесения изменений в образы виртуальных машин";"Образ виртуальной машины, сетевой узел, сетевое программное обеспечение, виртуальная машина";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"Образы виртуальных машин и контроль доступа к ним";"Подмена программных образов ВМ нарушает целостность установленного кода и обрабатываемых данных.";"";"ПО создаёт, хранит или использует образы ВМ; нарушителю доступна их несанкционированная модификация.";"Угроза заключается в возможности осуществления деструктивного программного воздействия на дискредитируемую систему или опосредованного деструктивного программного воздействия через неё на другие системы путём осуществления несанкционированного доступа к образам виртуальных машин.
Данная угроза обусловлена слабостями мер разграничения доступа к образам виртуальных машин, реализованных в программном обеспечении виртуализации.
Реализация данной угрозы может привести:
к нарушению конфиденциальности защищаемой информации, обрабатываемой с помощью виртуальных машин, созданных на основе несанкционированно изменённых образов;
к нарушению целостности программ, установленных на виртуальных машинах;
к нарушению доступности ресурсов виртуальных машин;
к созданию ботнета путём внедрения вредоносного программного обеспечения в образы виртуальных машин, используемые в качестве шаблонов (эталонные образы)";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 50"
"УБИ.049";"Угроза нарушения целостности данных кеша";"Сетевое программное обеспечение";"Прямая";"Данные и файлы";"";"Кеш приложения или программной службы";"Недостоверные данные в кеше принимаются приложением за корректные из-за отсутствия контроля целостности.";"";"ПО кеширует данные, а нарушитель способен изменять содержимое кеша до его обновления.";"Угроза заключается в возможности размещения нарушителем в кеше приложения (например, браузера) или службы (например, DNS или ARP) некорректных (потенциально опасных) данных таким образом, что до обновления кеша дискредитируемое приложение (или служба) будет считать эти данные корректными. 
Данная угроза обусловлена слабостями в механизме контроля целостности данных в кеше.
Реализация данной угрозы возможна в условиях осуществления нарушителем успешного несанкционированного доступа к данным кеша и отсутствии проверки целостности данных в кеше со стороны дискредитируемого приложения (или службы)";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 51"
"УБИ.050";"Угроза неверного определения формата входных данных, поступающих в хранилище больших данных";"Хранилище больших данных, метаданные";"Для отдельных классов ПО";"Данные и файлы";"";"Определение форматов и обработчики данных хранилища";"Ошибка программного определения формата приводит к искажению или отказу сохранения данных.";"";"ПО реализует хранилище больших данных с автоматическим определением и обработкой нескольких форматов по служебным метаданным.";"Угроза заключается в возможности искажения информации, сохраняемой в хранилище больших данных, или отказа в проведении сохранения при передаче в него данных в некоторых форматах.
Данная угроза обусловлена слабостями технологий определения формата входных данных на основе дополнительной служебной информации (заголовки файлов и сетевых пакетов, расширения файлов и т.п.), а также технологий адаптивного выбора и применения методов обработки мультиформатной информации в хранилищах больших данных.
Реализация данной угрозы возможна при условии, что дополнительная служебная информация о данных по какой-либо причине не соответствует их фактическому содержимому, или в хранилище больших данных не реализованы методы обработки данных получаемого формата";"Внутренний нарушитель с низким потенциалом";"0";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 52"
"УБИ.051";"Угроза невозможности восстановления сессии работы на ПЭВМ при выводе из промежуточных состояний питания";"Рабочая станция, носитель информации, системное программное обеспечение, метаданные, объекты файловой системы, реестр";"Для отдельных классов ПО";"Системное ПО";"";"Программные компоненты управления питанием и возобновления работы";"Источник связывает невозможность возобновления работы в том числе с ошибками программных компонентов управления питанием. Включена эта программная часть сценария.";"";"Анализируется системное ПО управления питанием и возобновления работы после сна или гибернации. Отказ должен быть связан с программной реализацией, а не с неисправностью аппаратуры.";"Угроза заключается в возможности потери несохранённых данных, обрабатываемых в предыдущей сессии работы на компьютере, а также в возможности потери времени для возобновления работы на компьютере.
Данная угроза обусловлена ошибками в реализации программно-аппаратных компонентов компьютера, связанных с обеспечением питания.
Реализация данной угрозы возможна при условии невозможности выведения компьютера из промежуточных состояний питания («ждущего режима работы», «гибернации» и др.)";"Внутренний нарушитель с низким потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 53"
"УБИ.052";"Угроза невозможности миграции образов виртуальных машин из-за несовместимости аппаратного и программного обеспечения";"Облачная инфраструктура, виртуальная машина, аппаратное обеспечение, системное программное обеспечение";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"API экспорта, импорта и миграции образов ВМ";"Описание явно называет несовместимость программных интерфейсов миграции, которая нарушает переносимость образов.";"";"ПО реализует миграцию ВМ между облачными платформами; проверяется совместимость его API и форматов, а не оборудование провайдера.";"Угроза заключается в возможности возникновения у потребителя облачных услуг непреодолимых сложностей для смены поставщика облачных услуг из-за технических сложностей в реализации процедуры миграции образов виртуальных машин из облачной системы одного поставщика облачных услуг в систему другого.
Данная угроза обусловлена тем, что каждый поставщик облачных услуг использует для реализации своей деятельности аппаратное и программное обеспечение различных производителей, часть которого может использовать специфические (для данного производителя) инструкции, протоколы, методы, схемы коммутации и другие особенности реализации своего функционала.
Реализация данной угрозы возможна в случае несовместимости стандартных программных интерфейсов обмена данными (API) для реализации процедуры миграции образов виртуальных машин между различными поставщиками облачных услуг в одном или обоих направлениях.
Также данная угроза обуславливает ограничение возможности смены производителей аппаратного и программного обеспечения поставщиком облачных услуг, что может привести к нарушению целостности и доступности информации по вине поставщика облачных услуг";"Внешний нарушитель с низким потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 54"
"УБИ.053";"Угроза невозможности управления правами пользователей BIOS";"Микропрограммное обеспечение BIOS/UEFI";"Для отдельных классов ПО";"Системное ПО";"";"Разграничение пользовательских и административных прав BIOS/UEFI";"Недостаточное разделение ролей в прошивке предоставляет пользователям административные функции.";"";"Объект анализа — BIOS/UEFI с пользовательским доступом к локальному терминалу и административным функциям.";"Угроза заключается в возможности неправомерного использования пользователями декларированного функционала BIOS/UEFI, ориентированного на администраторов.
Данная угроза обусловлена слабостями технологий разграничения доступа (распределения прав) к функционалу BIOS/UEFI между различными пользователями и администраторами.
Реализация данной угрозы возможна при условии физического доступа к терминалу и, при необходимости, к системному блоку компьютера";"Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 55"
"УБИ.055";"Угроза незащищённого администрирования облачных услуг";"Облачная система, рабочая станция, сетевое программное обеспечение";"Для отдельных классов ПО";"Веб и сетевые сервисы";"";"API и программные средства удалённого администрирования облака";"Уязвимости административных API и проверки ввода позволяют перехватить управление.";"";"ПО реализует удалённое управление облачными ресурсами; нарушитель может обращаться к административному API либо использовать полученные учётные данные.";"Угроза заключается в возможности осуществления опосредованного деструктивного программного воздействия на часть или все информационные системы, функционирующие в облачной среде, путём перехвата управления над облачной инфраструктурой через механизмы удалённого администрирования.
Данная угроза обусловлена недостаточностью внимания, уделяемого контролю вводимых пользователями облачных услуг данных (в том числе аутентификационных данных), а также уязвимостями небезопасных интерфейсов обмена данными (API), используемых средствами удалённого администрирования.
Реализация данной угрозы возможна в случае получения нарушителем аутентификационной информации (при их вводе в общественных местах) легальных пользователей, или эксплуатации уязвимостей в средствах удалённого администрирования";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 57"
"УБИ.057";"Угроза неконтролируемого копирования данных внутри хранилища больших данных";"Хранилище больших данных, метаданные, защищаемые данные";"Для отдельных классов ПО";"Данные и файлы";"";"Механизм автоматической репликации данных хранилища";"Внутренняя программная репликация создаёт неконтролируемые копии данных.";"";"ПО реализует хранилище больших данных с автоматическим дублированием на нескольких узлах и недостаточным учётом созданных копий.";"Угроза заключается в сложности контроля за всеми автоматически создаваемыми копиями информации в хранилище больших данных из-за временной несогласованности данных операций.
Данная угроза обусловлена осуществлением дублирования (дву- или многократного) данных на различных вычислительных узлах, входящих в состав хранилища больших данных, с целью повышения скорости доступа к этим данным при большом количестве запросов чтения/записи. При этом данная операция является внутренней функцией и «непрозрачна» для конечных пользователей и администраторов хранилища больших данных.
Реализация данной угрозы возможна при условии недостаточности мер по контролю за автоматически создаваемыми копиями информации, применяемых в хранилище больших данных";"Внутренний нарушитель с низким потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 59"
"УБИ.058";"Угроза неконтролируемого роста числа виртуальных машин";"Облачная система, консоль управления облачной инфраструктурой, облачная инфраструктура";"Для отдельных классов ПО";"Виртуализация и контейнеры";"";"Контроль создания виртуальных машин и квот";"Слабости программного контроля создания ВМ позволяют исчерпать выделенные ресурсы.";"";"ПО управляет созданием ВМ; нарушитель или пользователь имеет право создавать их, а ограничение количества и ресурсов недостаточно.";"Угроза заключается в возможности ограничения или нарушения доступности виртуальных ресурсов для конечных потребителей облачных услуг путём случайного или несанкционированного преднамеренного создания нарушителем множества виртуальных машин.
Данная угроза обусловлена ограниченностью объёма дискового пространства, выделенного под виртуальную инфраструктуру, и слабостями технологий контроля процесса создания виртуальных машин.
Реализация данной угрозы возможна при условии наличия у нарушителя прав на создание виртуальных машин в облачной инфраструктуре";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 60"
